"code","name","lat","long","metro"
"PVG","PVG - Shanghai Pudong International Airport",31.144344,121.80827,11
"YUL","YUL - Montréal–Pierre Elliott Trudeau International Airport",45.465687,-73.74548,141
"DOH","DOH - Hamad International Airport",25.260595,51.613766,676
"MCO","MCO - Orlando International Airport",28.431158,-81.30808,249
"CPH","CPH - Copenhagen Airport, Kastrup",55.618023,12.650763,567
"MDW","MDW - Midway International Airport",41.786777,-87.75219,39
"PHL","PHL - Philadelphia International Airport",39.874397,-75.242424,67
"ATH","ATH - Athens International Airport (Eleftherios Venizelos Airport)",37.935646,23.948416,484
"PHX","PHX - Phoenix Sky Harbor International Airport",33.437267,-112.00779,120
"HPN","HPN - Westchester County Airport",41.068333,-73.708664,1103
"FLL","FLL - Fort Lauderdale–Hollywood International Airport",26.074234,-80.150604,859
"XIY","XIY - Xi'an Xianyang International Airport",34.43711,108.75733,36
"DAL","DAL - Dallas Love Field",32.848103,-96.851204,66
"DUS","DUS - Düsseldorf Airport",51.287613,6.7667913,827
"PEK","PEK - Beijing Capital International Airport",40.079857,116.60311,15
"SEA","SEA - Seattle–Tacoma International Airport",47.45025,-122.308815,130
"OSL","OSL - Oslo Airport, Gardermoen",60.19755,11.100415,3981
"AGP","AGP - Málaga Airport",36.679115,-4.494509,609
"WAW","WAW - Warsaw Chopin Airport",52.167236,20.967892,447
"MXP","MXP - Milan–Malpensa Airport",45.630062,8.725531,153
"ISL","ISL - Istanbul New Airport",40.98299,28.810442,21
"AYT","AYT - Antalya Airport",36.90433,30.801876,3909
"DEL","DEL - Indira Gandhi International Airport",28.556162,77.09996,4
"AUS","AUS - Austin–Bergstrom International Airport",30.197472,-97.66635,406
"LIS","LIS - Lisbon Portela Airport",38.775593,-9.135366,281
"CKG","CKG - Chongqing Jiangbei International Airport",29.719166,106.64167,90
"DTW","DTW - Detroit Metropolitan Wayne County Airport",42.21617,-83.355385,139
"CUN","CUN - Cancún International Airport",21.04034,-86.873566,880
"EDI","EDI - Edinburgh Airport",55.950787,-3.3614533,882
"KMG","KMG - Kunming Changshui International Airport",25.09586,102.928505,105
"SZX","SZX - Shenzhen Bao'an International Airport",22.636827,113.814606,16
"BNA","BNA - Nashville International Airport",36.126316,-86.67737,502
"BGY","BGY - Il Caravaggio International Airport (Orio al Serio Airport)",45.66957,9.703631,927
"BWI","BWI - Baltimore/Washington International Thurgood Marshall Airport",39.177402,-76.668396,311
"BER","BER - Berlin Brandenburg Airport (in construction)",52.362514,13.502978,209
"CRL","CRL - Brussels South Charleroi Airport",50.462536,4.4588213,1154
"SLC","SLC - Salt Lake City International Airport",40.78994,-111.97907,340
"YVR","YVR - Vancouver International Airport",49.19669,-123.18151,228
"ALC","ALC - Alicante–Elche Airport",38.285484,-0.560056,863
"CGN","CGN - Cologne Bonn Airport",50.870716,7.140734,134
"SAW","SAW - Sabiha Gökçen International Airport",40.905373,29.31686,21
"TLV","TLV - Ben Gurion Airport",32.00553,34.88541,535
"NAP","NAP - Naples International Airport",40.88475,14.289243,223
"PRG","PRG - Václav Havel Airport Prague",50.10179,14.263181,506
"HGH","HGH - Hangzhou Xiaoshan International Airport",30.235949,120.43889,80
"SIN","SIN - Singapore Changi Airport",1.3644202,103.99153,124
"MRS","MRS - Marseille Provence Airport",43.438423,5.214414,432
"DCA","DCA - Ronald Reagan Washington National Airport",38.851242,-77.04023,61
"BUD","BUD - Budapest Ferenc Liszt International Airport",47.438457,19.252296,342
"MEX","MEX - Mexico City International Airport",19.436077,-99.07191,8
"JED","JED - King Abdulaziz International Airport",21.6834474,39.1636371238818,234
"BLQ","BLQ - Bologna Guglielmo Marconi Airport",44.534523,11.287859,467
"PBI","PBI - Palm Beach International Airport",26.685747,-80.09282,2072
"GVA","GVA - Geneva Airport",46.23701,6.1091566,764
"HOU","HOU - William P. Hobby Airport",29.645914,-95.27689,114
"OTP","OTP - Henri Coandă International Airport",44.570732,26.084412,425
"BOM","BOM - Chhatrapati Shivaji International Airport",19.08956,72.865616,13
"HEL","HEL - Helsinki Airport (Helsinki-Vantaa Airport)",60.32104,24.95286,578
"TPA","TPA - Tampa International Airport",27.983479,-82.53708,170
"ICN","ICN - Incheon International Airport",37.46019,126.4407,6
"AUH","AUH - Abu Dhabi International Airport",24.441938,54.650074,590
"YYC","YYC - Calgary International Airport",51.121502,-114.007614,626
"CVG","CVG - Cincinnati/Northern Kentucky International Airport",39.053276,-84.66302,352
"XMN","XMN - Xiamen Gaoqi International Airport",24.53907,118.13437,8792
"ADD","ADD - Bole International Airport",8.980069,38.79893,301
"SVO","SVO - Sheremetyevo International Airport",55.973648,37.412502,18
"CAI","CAI - Cairo International Airport",30.112364,31.40029,12
"LPA","LPA - Gran Canaria Airport",27.933186,-15.387707,1188
"LGA","LGA - LaGuardia Airport",40.776928,-73.87396,5
"DME","DME - Domodedovo International Airport",55.410305,37.90245,18
"GRU","GRU - São Paulo–Guarulhos International Airport",-23.430573,-46.47304,7
"LED","LED - Pulkovo Airport",59.802914,30.26784,144
"LTN","LTN - Luton Airport",51.876266,-0.3717471,1153
"PDX","PDX - Portland International Airport",45.58977,-122.59509,269
"STR","STR - Stuttgart Airport",48.687637,9.205576,254
"HAM","HAM - Hamburg Airport",53.63362,9.997413,315
"MLA","MLA - Malta International Airport (Luqa Airport)",35.854115,14.483279,1536
"CTU","CTU - Chengdu Shuangliu International Airport",30.567455,103.949295,38
"SAN","SAN - San Diego International Airport",32.7338,-117.193306,122
"RUH","RUH - King Khalid International Airport",24.959785,46.700386,117
"BKK","BKK - Suvarnabhumi Airport",13.689999,100.750114,22
"KRK","KRK - John Paul II International Airport Kraków–Balice",50.076977,19.788118,825
"LUX","LUX - Luxembourg Findel Airport",49.6289,6.2147446,965
"SJC","SJC - San Jose International Airport",37.36395,-121.92894,298
"NRT","NRT - Narita International Airport",35.771988,140.39285,933
"OPO","OPO - Francisco de Sá Carneiro Airport",41.24212,-8.678552,321
"CSX","CSX - Changsha Huanghua International Airport",28.196667,113.22083,31
"VCE","VCE - Venice Marco Polo Airport",45.506313,12.34752,437
"WUH","WUH - Wuhan Tianhe International Airport",30.776617,114.21245,52
"BHX","BHX - Birmingham Airport",52.45238,-1.7435071,238
"NCE","NCE - Nice Côte d'Azur Airport",43.659767,7.2148213,781
"NKG","NKG - Nanjing Lukou International Airport",31.73359,118.871445,47
"TAO","TAO - Qingdao Liuting International Airport",36.266674,120.383125,127
"CFU","CFU - Corfu International Airport (Ioannis Kapodistrias Int'l Airport)",39.608387,19.912811,3661
"KWI","KWI - Kuwait International Airport",29.240442,47.971046,278
"VLC","VLC - Valencia Airport",39.48923,-0.4780256,473
"STL","STL - Lambert–St. Louis International Airport",38.751648,-90.37153,267
"TSN","TSN - Tianjin Binhai International Airport",39.130405,117.3592,48
"BOG","BOG - El Dorado International Airport",4.7014127,-74.14449,69
"HAK","HAK - Haikou Meilan International Airport",19.93854,110.462135,438
"ANC","ANC - Ted Stevens Anchorage International Airport",61.175888,-149.99008,1917
"HND","HND - Haneda Airport",35.549393,139.77985,1
"KWE","KWE - Guiyang Longdongbao International Airport",26.540691,106.80021,164
"SHJ","SHJ - Sharjah International Airport",25.328436,55.512257,218
"LHW","LHW - Lanzhou Zhongchuan International Airport",36.515,103.62,492
"RHO","RHO - Rhodes International Airport",36.40476,28.086765,4323
"HER","HER - Heraklion International Airport (Nikos Kazantzakis Airport)",35.33958,25.174747,2931
"DLC","DLC - Dalian Zhoushuizi International Airport",38.965557,121.53833,211
"BLR","BLR - Kempegowda International Airport",13.198635,77.7066,35
"BRI","BRI - Bari Karol Wojtyła Airport",41.13751,16.765202,623
"CGO","CGO - Zhengzhou Xinzheng International Airport",34.52534,113.84615,40
"IBZ","IBZ - Ibiza Airport",38.87486,1.3712232,3844
"PTY","PTY - Tocumen International Airport",9.066701,-79.387375,632
"CMN","CMN - Mohammed V International Airport",33.371754,-7.587027,172
"SHE","SHE - Shenyang Taoxian International Airport",41.635265,123.49652,68
"LYS","LYS - Lyon–Saint-Exupéry Airport",45.72342,5.0887766,491
"TFS","TFS - Tenerife–South Airport (Reina Sofia Airport)",28.046757,-16.57253,2374
"BEG","BEG - Belgrade Nikola Tesla Airport",44.8205,20.29169,526
"MNL","MNL - Ninoy Aquino International Airport / Villamor Air Base",14.516388,121.01925,2
"RIX","RIX - Riga International Airport",56.922657,23.973312,952
"KUL","KUL - Kuala Lumpur International Airport",2.7343836,101.70541,1576
"SYD","SYD - Sydney Airport (Kingsford Smith Airport)",-33.939922,151.17528,198
"HRB","HRB - Harbin Taiping International Airport",45.62244,126.24338,3217
"BOD","BOD - Bordeaux–Mérignac Airport",44.830593,-0.7103052,804
"SKG","SKG - Thessaloniki Airport ""Macedonia""",40.520424,22.971676,1455
"KEF","KEF - Keflavík International Airport",63.978603,-22.635036,2337
"NNG","NNG - Nanning Wuxu International Airport",22.609644,108.17166,110
"SNA","SNA - John Wayne Airport (Orange County Airport)",33.67619,-117.86748,625
"OAK","OAK - Oakland International Airport",37.71257,-122.21974,99
"ASE","ASE - Aspen–Pitkin County Airport (Sardy Field)",39.22002,-106.86452,7620
"VKO","VKO - Vnukovo International Airport",55.599648,37.271233,18
"VNY","VNY - Van Nuys Airport",34.20964,-118.48965,23
"AER","AER - Sochi International Airport",43.445015,39.943867,1605
"CGK","CGK - Soekarno–Hatta International Airport",-6.127528,106.65371,3
"FOC","FOC - Fuzhou Changle International Airport",25.930637,119.6702,7801
"RDU","RDU - Raleigh–Durham International Airport",35.880077,-78.787994,444
"SFB","SFB - Orlando Sanford International Airport",28.779057,-81.236305,249
"BED","BED - Laurence G. Hanscom Field",42.46317,-71.29119,85
"HYD","HYD - Rajiv Gandhi International Airport",17.240263,78.42938,59
"ACE","ACE - Lanzarote Airport",28.950438,-13.605777,3910
"CTA","CTA - Catania–Fontanarossa Airport",37.467304,15.065775,763
"TYN","TYN - Taiyuan Wusu International Airport",37.746944,112.628334,173
"PSA","PSA - Pisa International Airport (Galileo Galilei Airport)",43.689083,10.397884,954
"CHS","CHS - Charleston International Airport / Charleston Air Force Base",32.894268,-80.03816,828
"FAO","FAO - Faro Airport",37.017597,-7.96972,1722
"PIT","PIT - Pittsburgh International Airport",40.495773,-80.24131,308
"BRS","BRS - Bristol Airport",51.38363,-2.7135463,538
"CHQ","CHQ - Chania International Airport (""Ioannis Daskalogiannis"")",35.53971,24.140432,3487
"PMO","PMO - Falcone–Borsellino Airport (Punta Raisi Airport)",38.1824,13.100582,730
"SVQ","SVQ - Seville Airport",37.420166,-5.89305,537
"ADB","ADB - Adnan Menderes Airport",38.293762,27.152029,6471
"GLA","GLA - Glasgow Airport",55.869076,-4.435053,440
"GOT","GOT - Göteborg Landvetter Airport",57.6688,12.292314,1158
"RSW","RSW - Southwest Florida International Airport",26.533705,-81.75531,552
"TNA","TNA - Jinan Yaoqiang International Airport",36.8572,117.216,86
"WNZ","WNZ - Wenzhou Longwan International Airport",27.911024,120.85541,423
"IND","IND - Indianapolis International Airport",39.716858,-86.29559,415
"MAA","MAA - Chennai International Airport",12.994112,80.17087,44
"AMM","AMM - Queen Alia International Airport",31.723248,35.99507,201
"CAG","CAG - Cagliari Elmas Airport",39.251347,9.055967,1417
"HKG","HKG - Hong Kong International Airport (Chek Lap Kok Airport)",22.308046,113.91848,16
"JNB","JNB - O. R. Tambo International Airport",-26.136673,28.241146,104
"OVB","OVB - Tolmachevo Airport",55.011353,82.65216,511
"URC","URC - Ürümqi Diwopu International Airport",43.907223,87.47417,244
"NGB","NGB - Ningbo Lishe International Airport",29.826666,121.461945,328
"PIE","PIE - St. Pete–Clearwater International Airport",27.909988,-82.689026,170
"YEG","YEG - Edmonton International Airport",53.30661,-113.58982,681
"BVA","BVA - Beauvais–Tillé Airport",49.454468,2.111511,3528
"ESB","ESB - Esenboğa International Airport",40.12444,32.991673,4108
"MKE","MKE - General Mitchell International Airport",42.94755,-87.896645,386
"MCT","MCT - Muscat International Airport",23.60135,58.290123,487
"VCP","VCP - Viracopos/Campinas International Airport",-23.008205,-47.13757,259
"EIN","EIN - Eindhoven Airport",51.458378,5.3920918,402
"SVX","SVX - Koltsovo International Airport",56.744774,60.802948,483
"KHN","KHN - Nanchang Changbei International Airport",28.857464,115.91067,163
"SOF","SOF - Sofia Airport",42.693428,23.407124,582
"NTE","NTE - Nantes Atlantique Airport",47.157417,-1.6062316,841
"ALG","ALG - Houari Boumediene Airport",36.697525,3.2067833,233
"BFI","BFI - Boeing Field/King County International Airport",47.528164,-122.30183,130
"INC","INC - Yinchuan Hedong International Airport",38.322624,106.38858,408
"MAH","MAH - Menorca Airport (Mahón Airport)",39.865417,4.2220325,5016
"PUJ","PUJ - Punta Cana International Airport",18.562244,-68.368355,1354
"SJU","SJU - Luis Muñoz Marín International Airport",18.437422,-66.00162,743
"BDL","BDL - Bradley International Airport",41.938873,-72.686035,304
"GDN","GDN - Gdańsk Lech Wałęsa Airport",54.37884,18.468075,858
"APA","APA - Centennial Airport",39.575104,-104.84514,178
"CLE","CLE - Cleveland Hopkins International Airport",41.4058,-81.85387,239
"MSY","MSY - Louis Armstrong New Orleans International Airport",29.9922,-90.25901,517
"SJW","SJW - Shijiazhuang Zhengding International Airport",38.280834,114.69666,37
"TLS","TLS - Toulouse–Blagnac Airport",43.629387,1.367682,777
"ALA","ALA - Almaty International Airport",43.349926,77.02529,434
"CMH","CMH - John Glenn Columbus International Airport",39.99994,-82.88718,420
"HET","HET - Hohhot Baita International Airport",40.85548,111.82155,332
"SAT","SAT - San Antonio International Airport",29.531197,-98.468346,392
"SYX","SYX - Sanya Phoenix International Airport",18.303701,109.41267,1162
"LCA","LCA - Larnaca International Airport",34.87234,33.62035,4345
"XNN","XNN - Xining Caojiabao Airport",36.527924,102.040886,380
"CCU","CCU - Netaji Subhas Chandra Bose International Airport",22.652042,88.44633,14
"GDL","GDL - Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l)",20.525955,-103.307625,71
"BLL","BLL - Billund Airport",55.740807,9.1526,4822
"FUE","FUE - Fuerteventura Airport",28.452385,-13.866851,3577
"NAS","NAS - Lynden Pindling International Airport",25.043928,-77.46552,2125
"SDF","SDF - Louisville International Airport (Standiford Field)",38.175663,-85.73692,638
"SRQ","SRQ - Sarasota–Bradenton International Airport",27.395538,-82.55451,692
"TUN","TUN - Tunis–Carthage International Airport",36.84586,10.219074,460
"SGN","SGN - Tan Son Nhat International Airport",10.818463,106.65882,29
"APF","APF - Naples Municipal Airport",26.152107,-81.77495,3530
"MEL","MEL - Melbourne Airport",-37.669014,144.84103,179
"OPF","OPF - Miami-Opa Locka Executive Airport",25.90745,-80.27743,65
"SHA","SHA - Shanghai Hongqiao International Airport",31.19221,121.3343,11
"BAH","BAH - Bahrain International Airport",26.269712,50.625988,1892
"DMM","DMM - King Fahd International Airport",26.468325,49.79725,572
"PWK","PWK - Chicago Executive Airport",42.11707,-87.90113,657
"GYD","GYD - Heydar Aliyev International Airport",40.465057,50.052315,312
"HNL","HNL - Honolulu International Airport",21.324512,-157.92508,630
"LBA","LBA - Leeds Bradford Airport",53.867943,-1.6615306,247
"NCL","NCL - Newcastle Airport",55.039345,-1.6931281,687
"OMA","OMA - Eppley Airfield",41.301872,-95.89374,783
"ACK","ACK - Nantucket Memorial Airport",41.25695,-70.06375,9135
"DMK","DMK - Don Mueang International Airport",13.91326,100.6042,22
"JTR","JTR - Santorini (Thira) National Airport",36.40032,25.477648,9137
"VRN","VRN - Verona Villafranca Airport",45.4,10.890141,554
"ZAG","ZAG - Franjo Tuđman Airport",45.74075,16.067436,817
"CGQ","CGQ - Changchun Longjia International Airport",43.99522,125.697044,98
"RAK","RAK - Marrakesh Menara Airport",31.604788,-8.02105,616
"BZN","BZN - Bozeman Yellowstone International Airport (Gallatin Field)",45.775135,-111.16135,3868
"JJN","JJN - Quanzhou Jinjiang International Airport",24.799372,118.59464,55
"ZUH","ZUH - Zhuhai Jinwan Airport (Zhuhai Sanzao Airport)",22.008072,113.37859,366
"BNE","BNE - Brisbane Airport",-27.394215,153.12183,356
"EZE","EZE - Ministro Pistarini International Airport",-34.815006,-58.53483,17
"KGS","KGS - Kos Island International Airport",36.800594,27.088055,4486
"LIM","LIM - Jorge Chávez International Airport",-12.024053,-77.11204,58
"MEM","MEM - Memphis International Airport",35.04207,-89.97917,597
"WRO","WRO - Copernicus Airport Wrocław",51.104164,16.880934,948
"HFE","HFE - Hefei Xinqiao International Airport (formerly Hefei Luogang International Airport)",31.9869,116.96921,91
"MCI","MCI - Kansas City International Airport",39.299118,-94.71078,323
"SCL","SCL - Comodoro Arturo Merino Benítez International Airport",-33.39051,-70.79381,62
"TRN","TRN - Turin Airport (Caselle Airport)",45.196537,7.647867,450
"HAN","HAN - Noi Bai International Airport",21.218716,105.80417,78
"NUE","NUE - Nuremberg Airport",49.49712,11.079808,551
"TIA","TIA - Tirana International Airport Nënë Tereza",41.419205,19.713991,861
"EMA","EMA - East Midlands Airport",52.829372,-1.332134,515
"OLB","OLB - Olbia Costa Smeralda Airport",40.8999,9.5177145,3643
"WMI","WMI - Warsaw Modlin Airport",52.449265,20.651237,447
"BGO","BGO - Bergen Airport, Flesland",60.29183,5.2220173,1843
"SPU","SPU - Split Airport",43.538437,16.298338,2189
"ZAD","ZAD - Zadar Airport",44.096497,15.353367,4028
"AKL","AKL - Auckland Airport",-37.008247,174.78503,430
"BEY","BEY - Beirut–Rafic Hariri International Airport / Beirut Air Base",33.819374,35.491203,1000
"DBV","DBV - Dubrovnik Airport",42.56022,18.262192,3847
"TAS","TAS - Tashkent International Airport",41.25722,69.28167,334
"FOK","FOK - Francis S. Gabreski Airport",40.843525,-72.64155,3168
"AEP","AEP - Jorge Newbery Airpark",-34.55803,-58.417007,17
"YWG","YWG - Winnipeg James Armstrong Richardson International Airport",49.90983,-97.23655,989
"BUF","BUF - Buffalo Niagara International Airport",42.939705,-78.72951,368
"KTW","KTW - Katowice International Airport",50.4728,19.075882,449
"KZN","KZN - Kazan International Airport",55.608593,49.29845,622
"TPE","TPE - Taiwan Taoyuan International Airport",25.07965,121.234215,147
"BIO","BIO - Bilbao Airport",43.302494,-2.911116,702
"DWC","DWC - Al Maktoum International Airport",24.897787,55.1431,218
"SMF","SMF - Sacramento International Airport",38.695084,-121.590065,255
"SWA","SWA - Jieyang Chaoshan International Airport",23.547085,116.51441,25
"YNT","YNT - Yantai Penglai International Airport",37.658604,120.9919,100
"NBO","NBO - Jomo Kenyatta International Airport",-1.3227102,36.92607,152
"JAX","JAX - Jacksonville International Airport",30.494072,-81.687935,566
"MMU","MMU - Morristown Municipal Airport",40.79756,-74.41576,1223
"MYR","MYR - Myrtle Beach International Airport",33.6822,-78.927895,1632
"PFO","PFO - Paphos International Airport",34.71355,32.48281,5092
"YHZ","YHZ - Halifax Stanfield International Airport",44.885944,-63.509445,1629
"BUR","BUR - Bob Hope Airport",34.19831,-118.35741,23
"FNC","FNC - Madeira Airport",32.695797,-16.775873,2109
"HRG","HRG - Hurghada International Airport",27.180494,33.807568,2908
"LPL","LPL - Liverpool John Lennon Airport",53.33586,-2.8550475,653
"ONT","ONT - Ontario International Airport",34.055977,-117.59806,95
"PVR","PVR - Licenciado Gustavo Díaz Ordaz International Airport",20.68052,-105.25237,2487
"AZA","AZA - Phoenix–Mesa Gateway Airport (FAA: IWA)",33.306534,-111.66255,1672
"PDK","PDK - DeKalb–Peachtree Airport",33.874958,-84.30282,108
"SCF","SCF - Scottsdale Airport (FAA: SDL)",33.647293,-111.89705,120
"BSB","BSB - Brasília International Airport (Presidente J. Kubitschek Int'l Airport)",-15.869737,-47.917236,299
"LIN","LIN - Linate Airport",45.452175,9.276308,153
"SAV","SAV - Savannah/Hilton Head International Airport",32.129425,-81.20185,1315
"SJD","SJD - Los Cabos International Airport",23.145536,-109.71827,2136
"DLM","DLM - Dalaman Airport",36.718132,28.793318,7651
"LZO","LZO - Luzhou Lantian Airport",28.85061225,105.387454312185,212
"PVD","PVD - Theodore Francis Green State Airport",41.724525,-71.430405,358
"BJV","BJV - Milas–Bodrum Airport",37.248657,27.663992,9202
"ORF","ORF - Norfolk International Airport",36.895683,-76.20002,426
"PLS","PLS - Providenciales International Airport",21.776346,-72.27133,9204
"BDS","BDS - Brindisi – Salento Airport",40.65676,17.945349,979
"CIA","CIA - Ciampino–G. B. Pastine International Airport",41.80002,12.59336,224
"EVN","EVN - Zvartnots International Airport",40.149178,44.398857,571
"ZTH","ZTH - Zakynthos International Airport (Dionysios SolomosAirport)",37.754436,20.886614,6082
"PER","PER - Perth Airport",-31.938547,115.96725,453
"YQB","YQB - Québec City Jean Lesage International Airport",46.79077,-71.38857,848
"AMD","AMD - Sardar Vallabhbhai Patel International Airport",23.073425,72.62657,93
"HAJ","HAJ - Hannover Airport",52.46185,9.688992,466
"MTY","MTY - General Mariano Escobedo International Airport",25.777819,-100.10799,231
"PSP","PSP - Palm Springs International Airport",33.83032,-116.50705,962
"MRV","MRV - Mineralnye Vody Airport",44.21777,43.087727,1145
"TSF","TSF - Treviso-Sant'Angelo Airport",45.653275,12.202082,437
"CMB","CMB - Bandaranaike International Airport",7.1801553,79.884254,706
"CNF","CNF - Tancredo Neves International Airport (Confins Int'l Airport)",-19.634098,-43.965397,6629
"MLE","MLE - Ibrahim Nasir International Airport",4.1887827,73.52858,3190
"PWM","PWM - Portland International Jetport",43.646477,-70.3097,1198
"TUL","TUL - Tulsa International Airport",36.198776,-95.883865,845
"BCT","BCT - Boca Raton Airport",26.382898,-80.10113,859
"EGE","EGE - Eagle County Regional Airport",39.64015,-106.913605,4528
"JMK","JMK - Mykonos Island National Airport",37.433956,25.34605,5548
"KWL","KWL - Guilin Liangjiang International Airport",25.21588,110.047066,187
"PSM","PSM - Portsmouth International Airport at Pease",43.080257,-70.82113,1601
"SXM","SXM - Princess Juliana International Airport",18.04187,-63.113083,8729
"MRY","MRY - Monterey Regional Airport",36.58827,-121.849106,1454
"SSH","SSH - Sharm el-Sheikh International Airport",27.976828,34.393528,9229
"VNO","VNO - Vilnius Airport",54.638035,25.286558,1190
"CAK","CAK - Akron-Canton Airport",40.91538,-81.44189,1308
"RIC","RIC - Richmond International Airport",37.50658,-77.32081,575
"TIJ","TIJ - Tijuana International Airport",32.542255,-116.9717,2715
"AGA","AGA - Agadir–Al Massira Airport",30.327028,-9.4128895,697
"HHN","HHN - Frankfurt–Hahn Airport",49.9429,7.262953,4256
"SNN","SNN - Shannon Airport",52.699657,-8.914691,4330
"ICT","ICT - Wichita Dwight D. Eisenhower National Airport",37.650852,-97.428696,1231
"AVL","AVL - Asheville Regional Airport",35.434895,-82.53786,1666
"DAC","DAC - Shahjalal International Airport",23.843435,90.40292,26
"GRR","GRR - Gerald R. Ford International Airport",42.884663,-85.52484,780
"LOS","LOS - Murtala Muhammed International Airport",6.5818186,3.3211348,28
"SCQ","SCQ - Santiago de Compostela Airport",42.896717,-8.416198,2441
"YHM","YHM - John C. Munro Hamilton International Airport",43.17167,-79.927666,641
"BHM","BHM - Birmingham–Shuttlesworth International Airport",33.562428,-86.75413,684
"JAC","JAC - Jackson Hole Airport",43.60841,-110.73665,7122
"LJG","LJG - Lijiang Sanyi Airport",26.66667,100.24812,652
"SJO","SJO - Juan Santamaría International Airport",9.997981,-84.20402,1520
"UFA","UFA - Ufa International Airport",54.565125,55.884174,725
"APC","APC - Napa County Airport",38.217255,-122.273026,2110
"DSM","DSM - Des Moines International Airport",41.534134,-93.6588,953
"KJA","KJA - Yemelyanovo International Airport",56.17679,92.4814,719
"OKC","OKC - Will Rogers World Airport",35.393055,-97.600555,577
"SDQ","SDQ - Las Américas International Airport",18.431953,-69.6721,202
"WUX","WUX - Sunan Shuofang International Airport",31.498625,120.435265,19
"YOW","YOW - Ottawa Macdonald–Cartier International Airport",45.319214,-75.66917,621
"FRG","FRG - Republic Airport",40.726128,-73.416794,1299
"GSO","GSO - Piedmont Triad International Airport",36.104366,-79.93518,768
"TBS","TBS - Tbilisi International Airport",41.66961,44.964348,645
"BOI","BOI - Boise Air Terminal (Gowen Field)",43.565823,-116.22231,947
"VPS","VPS - Destin–Fort Walton Beach Airport / Eglin Air Force Base",30.495466,-86.549866,3018
"DPS","DPS - Ngurah Rai International Airport",-8.746717,115.16679,924
"JHG","JHG - Xishuangbanna Gasa Airport",21.971031,100.7647,1270
"KIX","KIX - Kansai International Airport",34.432003,135.2304,993
"MVY","MVY - Martha's Vineyard Airport",41.388145,-70.61387,1348
"NTG","NTG - Nantong Xingdong Airport",32.070835,120.975555,60
"TLL","TLL - Tallinn Airport (Lennart Meri Tallinn Airport)",59.414127,24.832975,1478
"ALB","ALB - Albany International Airport",42.74871,-73.8055,628
"CZX","CZX - Changzhou Benniu Airport",31.912048,119.783936,227
"ELP","ELP - El Paso International Airport",31.805336,-106.38243,414
"MBJ","MBJ - Sangster International Airport",18.502264,-77.91444,3019
"POZ","POZ - Poznań–Ławica Airport",52.419952,16.828615,1064
"REC","REC - Recife/Guararapes–Gilberto Freyre International Airport",-8.125932,-34.924015,225
"RTM","RTM - Rotterdam The Hague Airport",51.95551,4.439883,319
