"league","lat","long","team","color1","color2","teamID","metroID","loc"
"NCAA BB",35.61917,-82.5658,"UNC-Ashville Bulldogs","#003DA5","#ffffff",388,1666,"Asheville, North Carolina"
"NCAA BB",35.97616,-79.99637,"High Point Panthers","#330072","#ffffff",389,768,"High Point, North Carolina"
"NCAA BB",37.13853,-80.54161,"Radford Highlanders","#c2011b","#d1d3d4",390,6545,"Radford City, Virginia"
"NCAA BB",34.94816,-81.01501,"Winthrop Eagles","#660000","#F0B323",391,357,"Rock Hill, South Carolina"
"NCAA BB",37.97656,-121.31522,"Pacific Tigers","#E35205","#231f20",392,534,"Stockton, California"
"NCAA BB",33.6495,-117.84703,"UC Irvine Anteaters","#0C2340","#FFC72C",393,625,"Irvine, California"
"NCAA BB",35.29882,-120.65866,"Cal Poly Mustangs","#003831","#FFE395",394,1630,"San Luis Obispo County, California"
"NCAA BB",33.97875,-117.32789,"UC Riverside Highlanders","#2D6CC0","#003066",395,95,"Riverside, California"
"NCAA BB",34.24192,-118.52627,"CSUN Matadors","#CE1126","#D1CEC6",396,23,"Los Angeles, California"
"NCAA BB",34.41399,-119.85174,"UC Santa Barbara Gauchos","#003660","#FEBC11",397,2081,"Isla Vista, California"
"NCAA BB",33.88322,-117.88649,"Cal State Fullerton Titans","#00274C","#DC8218",398,95,"Fullerton, California"
"NCAA BB",33.78694,-118.11513,"Long Beach State 49'ers","#ffc72a","#FFC72A",399,23,"Long Beach, California"
"NCAA BB",39.66042,-75.74868,"Delaware Fightin' Blue Hens","#00539f","#FFDD31",400,2474,"Newark, Delaware"
"NCAA BB",40.72006,-73.59649,"Hofstra Pride","#0B1E73","#FEB612",401,5,"Uniondale, New York"
"NCAA BB",39.95625,-75.19101,"Drexel Dragons","#00437b","#ffda02",402,67,"Philadelphia, Pennsylvania"
"NCAA BB",37.27365,-76.71965,"William and Mary Tribe","#E4002B","#FFC72C",403,1682,"York County, Virginia"
"NCAA BB",42.34112,-71.08467,"Northeastern Huskies","#D41B2C","#ffffff",404,85,"Boston, Massachusetts"
"NCAA BB",38.8268,-77.30966,"George Mason Patriots","#006633","#FFCC33",405,61,"Fairfax County, Virginia"
"NCAA BB",37.55252,-77.45216,"VCU Rams","#ffb300","#FFB300",406,575,"Richmond, Virginia"
"NCAA BB",39.38693,-76.6164,"Towson Tigers","#FFBB00","#3C3C3C",407,311,"Towson, Maryland"
"NCAA BB",34.22404,-77.8791,"UNC-Wilmington Seahawks","#003366","#006666",408,1709,"Wilmington, North Carolina"
"NCAA BB",41.10844,-80.64898,"Youngstown State Penquins","#C8102E","#F3D54E",409,1026,"Youngstown, Ohio"
"NCAA BB",42.41483,-83.13596,"Detroit Mercy Titans","#A6093D","#002D72",410,139,"Detroit, Michigan"
"NCAA BB",39.78218,-84.05242,"Wright State Raiders","#026937","#CEA052",411,671,"Fairborn, Ohio"
"NCAA BB",39.84366,-86.16731,"Butler Bulldogs","#13294b","#747678",412,415,"Indianapolis, Indiana"
"NCAA BB",42.00059,-87.65906,"Loyola Ramblers","#922247","#FEBD18",413,39,"Chicago, Illinois"
"NCAA BB",44.50072,-88.05679,"Green Bay Phoenix","#006747","#9D2235",414,1036,"Green Bay, Wisconsin"
"NCAA BB",41.87486,-87.6564,"UIC Flames","#ac1e2d","#041E42",415,39,"Chicago, Illinois"
"NCAA BB",43.04221,-88.05679,"Milwaukee Panthers","#FFBD00","#CCCCCC",416,386,"Wauwatosa, Wisconsin"
"NCAA BB",41.4993,-81.67724,"Cleveland State Vikings","#006747","#006747",417,239,"Cleveland, Ohio"
"NCAA BB",41.11542,-85.12471,"Fort Wayne Mastodons","#F7A800","#F7A800",418,1526,"Fort Wayne, Indiana"
"NCAA BB",46.90039,-96.79877,"North Dakota State Bisons","#46166B","#DB9F11",419,2060,"Fargo, North Dakota"
"NCAA BB",44.31777,-96.7793,"South Dakota State Jackrabbits","#00205B","#BF0D3E",420,5624,"Brookings, South Dakota"
"NCAA BB",37.29741,-78.39577,"Longwood Lancers","#15213B","#999D9E",421,7617,"Farmville, Virginia"
"NCAA BB",41.71842,-87.60901,"Chicago State Cougars","#006666","#000000",422,39,"Chicago, Illinois"
"NCAA BB",40.27894,-111.71672,"Utah Valley Wolverines","#275d38","#8e8c89",423,969,"Orem, Utah"
"NCAA BB",38.54252,-121.75969,"UC Davis Aggies","#002855","#B3A369",424,255,"Davis, California"
"NCAA BB",32.02342,-81.06607,"Savannah State Tigers","#002395","#FF5B00",425,1315,"Savannah, Georgia"
"NCAA BB",40.34521,-74.65177,"Princeton Tigers","#FF671F","#000000",426,754,"Princeton, New Jersey"
"NCAA BB",42.36827,-71.1294,"Harvard Crimson","#A41034","#808285",427,85,"Boston, Massachusetts"
"NCAA BB",43.70297,-72.28282,"Dartmouth Big Green","#046A38","#046A38",428,3900,"Hanover, New Hampshire"
"NCAA BB",40.80986,-73.96187,"Columbia University Lions","#003865","#9BCBEB",429,5,"New York, New York"
"NCAA BB",42.44568,-76.47659,"Cornell Big Red","#B31B1B","#5e3920",430,2383,"Town of Dryden, New York"
"NCAA BB",41.83166,-71.39765,"Brown Bears","#4E3629","#7C2529",431,358,"Providence, Rhode Island"
"NCAA BB",41.31392,-72.93097,"Yale Bulldogs","#00356b","#00356b",432,204,"New Haven, Connecticut"
"NCAA BB",39.9514,-75.18863,"University of Pennsylvania Quakers","#880000","#880000",433,67,"Philadelphia, Pennsylvania"
"NCAA BB",40.27879,-74.73522,"Rider Broncs","#981E32","#6C6F70",434,67,"Lawrence Township, New Jersey"
"NCAA BB",41.17361,-73.18735,"Fairfield Stags","#C8102E","#A2AAAD",435,204,"Bridgeport, Connecticut"
"NCAA BB",40.89117,-73.90006,"Manhattan Jaspers","#00703C","#00703C",436,5,"New York, New York"
"NCAA BB",39.34641,-76.61827,"Loyola Greyhounds","#b62b3a","#00447c",437,311,"Baltimore, Maryland"
"NCAA BB",40.27885,-74.00921,"Monmouth Hawks","#041E42","#53565A",438,5,"Monmouth County, New Jersey"
"NCAA BB",37.73727,-84.3015,"Eastern Kentucky Colonels","#8a0039","#ffffff",439,1294,"Richmond, Kentucky"
"NCAA BB",36.53666,-87.35668,"Austin Peay Governors","#C41E3A","#ffffff",440,2259,"Clarksville, Tennessee"
"NCAA BB",38.18992,-83.42593,"Morehead State Eagles","#FFCF00","#005EB8",441,7696,"Morehead, Kentucky"
"NCAA BB",33.46431,-86.79532,"Samford Bulldogs","#002649","#C4161D",442,684,"Homewood, Alabama"
"NCAA BB",36.16933,-86.83104,"Tennessee State Tigers","#00539F","#ffffff",443,502,"Nashville-Davidson, Tennessee"
"NCAA BB",36.17873,-85.50995,"Tennessee Tech Golden Eagles","#4f2984","#FFDD00",444,4180,"Cookeville, Tennessee"
"NCAA BB",39.47977,-88.18016,"Eastern Illinois Panthers","#919295","#004b83",445,5336,"Charleston, Illinois"
"NCAA BB",33.8241,-85.77361,"Jacksonville State Gamecocks","#CC0000","#ffffff",446,2350,"Jacksonville, Alabama"
"NCAA BB",36.32336,-88.31638,"Murray State Racers","#ECAC00","#002144",447,5669,"Paris, Tennessee"
"NCAA BB",37.32019,-89.52715,"SMS Redhawks","#381507","#AC923C",448,3710,"Cape Girardeau, Missouri"
"NCAA BB",36.34463,-88.86828,"UT Martin Skyhawks","#f79728","#002a5b",449,5980,"Martin, Tennessee"
"NCAA BB",40.70202,-75.21038,"Lafayette Leopards","#a8996e","#98002e",450,477,"Easton, Pennsylvania"
"NCAA BB",38.93777,-77.09004,"American University Eagles","#143d8d","#c41230",451,61,"Washington, District of Columbia"
"NCAA BB",42.8154,-75.5425,"Colgate Red Raiders","#821019","#E10028",452,2111,"Village of Hamilton, New York"
"NCAA BB",42.23486,-71.80623,"Holy Cross Crusaders","#602d89","#FFFFFF",453,801,"Worcester, Massachusetts"
"NCAA BB",40.9569,-76.88604,"Bucknell Bison","#E87722","#003865",454,2675,"Union County, Pennsylvania"
"NCAA BB",40.58474,-75.3571,"Lehigh Mountain Hawks","#653600","#ffd24f",455,477,"Bethlehem, Pennsylvania"
"NCAA BB",36.10465,-79.5057,"Elon Phoenix","#73000a","#b59a57",456,2515,"Elon, North Carolina"
"NCAA BB",35.49912,-80.84036,"Davidson Wildcats","#ac1a2f","#ac1a2f",457,357,"Davidson, North Carolina"
"NCAA BB",34.96021,-81.93302,"Wofford Terriers","#886E4C","#C7B37F",458,728,"Spartanburg, South Carolina"
"NCAA BB",36.06961,-79.81329,"UNC-Greensboro Spartans","#0f2044","#ffb71b",459,768,"Greensboro, North Carolina"
"NCAA BB",32.78531,-79.93373,"Charleston Cougars","#800000","#9d8958",460,828,"Charleston, South Carolina"
"NCAA BB",32.79859,-79.96226,"The Citadel Bulldogs","#164B7C","#FDBD15",461,828,"Charleston, South Carolina"
"NCAA BB",35.30465,-83.18279,"Western Carolina Catamounts","#592c88","#C1A875",462,7003,"Jackson County, North Carolina"
"NCAA BB",35.05041,-85.30098,"Chattanooga Mocs","#00386b","#e0aa0f",463,1075,"Chattanooga, Tennessee"
"NCAA BB",34.91675,-82.43673,"Furman Paladins","#201547","#582c83",464,728,"Travelers Rest, South Carolina"
"NCAA BB",27.80894,-97.39262,"TAMUCC Islanders","#0067C5","#007F3E",465,1564,"Corpus Christi, Texas"
"NCAA BB",30.71348,-95.54627,"Sam Houston Bearkat","#fe5100","#ffffff",466,2951,"Huntsville, Texas"
"NCAA BB",30.13653,-93.20805,"McNeese Cowboys","#00529b","#ffd204",467,2558,"Calcasieu Parish, Louisiana"
"NCAA BB",35.08217,-92.45982,"Central Arkansas Bears","#4f2d7f","#818a8f",468,1019,"Conway, Arkansas"
"NCAA BB",30.04499,-94.07169,"Lamar Cardinals","#dc0032","#ffffff",469,1692,"Beaumont, Texas"
"NCAA BB",31.74444,-93.09517,"Northwestern State Demons","#663399","#ffffff",470,6496,"Natchitoches, Louisiana"
"NCAA BB",29.79254,-90.80142,"Nicholls State Colonels","#ae132a","#72808a",471,2172,"Thibodaux, Louisiana"
"NCAA BB",32.72939,-97.11559,"UTA Mavericks","#002B5C","#00471B",472,66,"Arlington, Texas"
"NCAA BB",30.52017,-90.4732,"SE Louisiana Lions","#006341","#eaaa00",473,3308,"Hammond, Louisiana"
"NCAA BB",31.62199,-94.64136,"Stephen F Austin Lumberjacks","#613393","#ffffff",474,3874,"Nacogdoches, Texas"
"NCAA BB",34.72949,-92.34024,"Arkansas Little Rock Trojans","#6e2639","#A7A9AC",475,1019,"Little Rock, Arkansas"
"NCAA BB",39.68206,-104.96158,"Denver Pioneers","#8b2332","#8b6f4b",476,178,"Denver, Colorado"
"NCAA BB",30.03109,-90.0509,"New Orleans Privateers","#005ca6","#a3a9ac",477,517,"New Orleans, Louisiana"
"NCAA BB",31.87435,-91.13406,"Alcorn State Braves","#ce8e00","#4b306a",478,5657,"Claiborne County, Mississippi"
"NCAA BB",30.52196,-91.18547,"Southern University A&M Jaguars","#0047BB","#FFCE00",479,974,"Baton Rouge, Louisiana"
"NCAA BB",29.723,-95.36557,"Texas Southern Tigers","#7c183e","#9da6ab",480,114,"Houston, Texas"
"NCAA BB",32.36167,-86.29347,"Alabama State Hornets","#C99700","#000000",481,1891,"Montgomery, Alabama"
"NCAA BB",34.24146,-92.02375,"Arkansas Pine Bluff Golden Lions","#EEB310","#E31837",482,5041,"Pine Bluff, Arkansas"
"NCAA BB",32.29976,-90.2117,"Jackson State Tigers","#002147","#008ED6",483,1438,"Jackson, Mississippi"
"NCAA BB",32.52432,-92.71261,"Grambling Tigers","#eaa921","#000000",484,5332,"Lincoln Parish, Louisiana"
"NCAA BB",33.53448,-90.25487,"Mississippi Valley Delta Devils","#00703c","#e51937",485,5621,"Greenwood, Mississippi"
"NCAA BB",34.78565,-86.75545,"Alabama A & M Bulldogs","#660000","#ffffff",486,1399,"Madison County, Alabama"
"NCAA BB",30.09308,-95.99437,"Prairie View Panthers","#330066","#ffcc33",487,5889,"Waller County, Texas"
"NCAA BB",37.33452,-121.88031,"San Jose Spartans","#651D32","#C8102E",488,298,"San Jose, California"
"NCAA BB",46.72612,-117.01763,"Idaho Vandals","#B3A369","#EAAB00",489,3186,"Moscow, Idaho"
"NCAA BB",33.96871,-118.41593,"Loyola Marymount Lions","#b62b3a","#00447c",490,23,"Los Angeles, California"
